0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm)
Roberta Flack,"4,1,4",Chorus,Killing Me Softly,3 chord,Killing Me Softly,Roberta Flack,18023,94890,"soul, oldies, 70s, 123 drippy sappy, female vocalists"
Robin,"4,5,6",Chorus,Hiljainen Tytto,3 chord,Hiljainen Tytto,Robin,1,25,
Robin Schulz,"1,6,5",Verse,Headlights,3 chord,Headlights,Robin Schulz,4912,20840,
Robin Schulz,"6,4,5",Chorus,Sugar feat Francesco Yates,3 chord,Sugar feat Francesco Yates,Robin Schulz,42,612,
Robin Schulz,"6,4,1",Verse and Pre-Chorus,Sun goes down,3 chord,Sun Goes Down,Robin Schulz,5869,34130,"electronic, pop"
Robin Schulz ft Jasmine Thompson,"1,5,6",Verse,Sun Goes Down,3 chord,SUN GOES DOWN,Robin Schulz ft Jasmine Thompson,670,3758,
Robin Thicke,"1,5,4",Intro,Blurred Lines,3 chord,Blurred Lines,Robin Thicke,483823,3523006,"dance, pop, 2013, r&b, Robin Thicke"
Robyn,"1,5,6",Verse,Call Your Girlfriend,3 chord,Call Your Girlfriend,Robyn,236081,2163676,"pop, electronic, swedish, dance, female vocalists"
Robyn,"4,6,5",Chorus,Indestructible,3 chord,Indestructible,Robyn,147527,1456836,"swedish, electronic, pop, female vocalists, power pop"
Robyn,"6,1,3",Chorus,Love Kills,3 chord,Love Kills,Robyn,124026,850679,"electronic, pop, swedish, dance, electropop"
Rock Mafia,"6,2,6",Chorus,The Big Bang,3 chord,The Big Bang,Rock Mafia,73177,536537,"alternative, pop, rock, rock mafia, Soundtrack"
Rockwell,"4,5,6",Intro,Somebody's Watching Me,3 chord,Somebody's Watching Me,Rockwell,177251,584571,"80s, pop, dance, One Hit Wonders, motown"
Rocky Chack,"6,4,2",Bridge,Ringo Hiyori - The Wolf Whistling Song,3 chord,Ringo Hiyori - The Wolf Whistling Song,ROCKY CHACK,12,144,
Rod Stewart,"1,6,3",Chorus,Young Turks,3 chord,Young Turks,Rod Stewart,109730,555560,"80s, rock, classic rock, soft rock, pop"
Rodgers and Hammerstein,"4,5,1",Verse,Do-Re-Mi,3 chord,Do-Re-Mi,Rodgers And Hammerstein,173,632,
Rodriguez Jr,"4,5,1",Chorus,Shapes I See,3 chord,Shapes I see,Rodriguez Jr.,9409,27333,"vocal house, C, House, g, k"
Roger Glover,"1,5,1",Verse,Love Is All,3 chord,Love Is All,Roger Glover,13653,62106,"rock, Pop-Rock, butterfly ball, 1974, Beatlesque"
Roine Stolt,"4,5,6",Intro,Humanizzimo,3 chord,Humanizzimo,Roine Stolt,1403,5185,Progressive rock
Rolling Stones,"5,1,4",Verse,Mother's Little Helper,3 chord,Mother's Little Helper,The Rolling Stones,258950,1135712,"classic rock, rock, 60s, british, rolling stones"
Romain Gauthier,"1,4,5",Intro,Kakkoii,3 chord,,,,,
Rome,"1,5,6",Chorus,Seasons,3 chord,Seasons,Rome,1064,6252,"Awesome, heartbreak, mexican, pegajosa"
Romeo Santos,"1,5,6",Verse,La Diabla,3 chord,La Diabla,Romeo Santos,16804,72781,"bachata, romeo, eres, casandra, romeo santos"
Ronan Keating,"1,5,4",Intro and Verse,When You Say Nothing At All,3 chord,When You Say Nothing at All,Ronan Keating,271097,1334561,"pop, Love, ronan keating, 90s, Soundtrack"
Roomie,"1,5,6",Chorus,How To Make A Number One Song Without Talent,3 chord,,,,,
Rory Gallagher,"1,5,6",Verse,I'm Not Awake Yet,3 chord,I'm Not Awake Yet,Rory Gallagher,28039,93208,"classic rock, blues rock, blues, guitar, guitar virtuoso"
Route 94,"6,2,4",Verse,My Love ft Jess Glynne,3 chord,My Love ft Jess Glynne,Route 94,36,378,
Roxette,"1,5,1",Chorus,How Do You Do,3 chord,How Do You Do,Roxette,49572,284194,"80s, pop, rock, swedish, 90s"
Roxette,"1,5,6",Chorus,Listen To Your Heart,3 chord,Listen to Your Heart,Roxette,363980,1895108,"80s, pop, Roxette, rock, female vocalists"
Roxette,"4,1,5",Outro,The Look,3 chord,The Look,Roxette,333754,1576073,"80s, pop, rock, pop rock, Roxette"
Roy Orbison,"1,6,4",Chorus,Oh Pretty Woman,3 chord,Oh Pretty Woman,Roy Orbison,98973,321598,"oldies, 60s, classic rock, Soundtrack, rock"
Roy Orbison,"1,6,3",Verse and Pre-Chorus,You Got It,3 chord,You Got It,Roy Orbison,231164,1045118,"oldies, classic rock, 60s, rock, pop"
Royal Republic,"1,4,1",Chorus,Everybody Wants To Be An Astronaut,3 chord,,,,,
Royksopp,"1,6,3",Verse,Keyboard Milk,3 chord,Keyboard Milk,Röyksopp,36897,168433,"electronic, Ambient Atmospheric House, electronica, instrumental, ambient"
Royksopp,"6,1,3",Verse,Royksopp Forever,3 chord,Röyksopp Forever,Röyksopp,267522,1733772,"electronic, ambient, chillout, downtempo, epic"
Rudimental,"1,4,5",Chorus,Lay It All On Me,3 chord,Lay It All on Me,Rudimental,8026,32121,"pop, synth, holiday"
Rufus Wainwright,"1,5,4",Verse,Instant Pleasure,3 chord,Instant Pleasure,Rufus Wainwright,29592,196399,"sexy, singer-songwriter, favorites, happy, rufus wainwright"
Runaground and Disco Fries,"1,5,6",Chorus,Stars Come Out,3 chord,,,,,
Runaway Box,"6,2,6",Chorus,One Semester of Spanish Spanish Love Song,3 chord,One Semester of Spanish Spanish Love Song,Runaway Box,3,22,
Runescape,"4,5,6",Solo 1,Harmony,3 chord,Harmony,RuneScape,114,1360,
Rupert Holmes,"4,6,5",Chorus,Escape,3 chord,Escape,Rupert Holmes,3708,18194,"pop, rock, 70s, soft rock, adult contemporary"
Rush,"1,5,4",Verse,By-Tor And The Snow Dog,3 chord,By-Tor and the Snow Dog,Rush,53963,219791,"Progressive rock, hard rock, classic rock, rock, 70s"
Rush,"1,5,4",Verse,Closer to the Heart,3 chord,Closer to the Heart,Rush,216099,1143241,"Progressive rock, classic rock, rock, hard rock, Rush"
Rush,"1,4,1",Bridge,Fly By Night,3 chord,Fly by Night,Rush,184924,892687,"Progressive rock, classic rock, rock, 70s, hard rock"
Rush,"4,1,6",Verse,Red Barchetta,3 chord,Red Barchetta,Rush,203307,1076821,"Progressive rock, classic rock, rock, hard rock, Rush"
Rush,"1,4,5",Outro,Subdivisions,3 chord,Subdivisions,Rush,136555,833278,"Progressive rock, rock, classic rock, 80s, Rush"
Rush,"4,5,1",Verse,The Spirit of Radio,3 chord,The Spirit of Radio,Rush,245334,1395984,"Progressive rock, classic rock, rock, Rush, hard rock"
Rush,"1,5,4",Chorus,Working Man,3 chord,Working Man,Rush,203625,929609,"Progressive rock, classic rock, hard rock, rock, Rush"
Rusko,"6,2,4",Pre-Chorus,Hold On,3 chord,Hold On,Rusko,41460,135895,"dubstep, 1Live Fiehe, chillout, sexy, female vocalist"
Russian tradtional,"1,5,1",Verse,Oh at this evening,3 chord,,,,,
Rustie,"4,5,6",Verse,4eva,3 chord,4eva,Rustie,6224,18463,
Rustie,"1,4,5",Chorus,After Light,3 chord,After Light,Rustie,69693,302971,"dubstep, electronic, wonky, indie, british"
Rustie,"1,6,2",Pre-Chorus and Chorus,Beast Nite,3 chord,Beast Nite,Rustie,8471,27210,beats
Rustie,"1,2,3",Chorus,Hover Traps,3 chord,Hover Traps,Rustie,39467,183412,"dubstep, seinfeld, purple sound, electronic, indie"
Rustie,"4,5,1",Outro,Ultra Thizz,3 chord,Ultra Thizz,Rustie,45674,217649,"dubstep, electronic, Grime, glitch-hop, 2011"
Ruth B,"4,1,6",Chorus,Lost Boy,3 chord,Lost Boy,Ruth B,68478,307488,"Canadian, pop, female vocalists, piano, love at first listen"
Ryan Dorin,"5,2,4",Solo,Happy Factory,3 chord,HAPPY FACTORY,Ryan Dorin,1,4,
Ryan Star,"1,5,6",Chorus,Brand New Day,3 chord,Brand New Day,Ryan Star,53798,683502,"lie to me, Soundtrack, rock, alternative rock, Awesome"
Ryn Weaver,"1,4,1",Verse and Pre-Chorus,The Fool,3 chord,The Fool,Ryn Weaver,26307,147828,"wow, godly, slay me, alternative, female vocalists"
Ryo Kawakami,"5,6,5",Intro,Mega Man 9 - Flash in the Dark,3 chord,,,,,
Ryu,"6,3,6",Intro,532nm,3 chord,532nm,Ryu,3,10,
Ryuji Sasai,"4,5,6",Chorus,Final Fantasy Legend III - The Talon,3 chord,,,,,
S Club 7,"4,5,6",Chorus,Never Had A Dream Come True,3 chord,Never Had A Dream Come True,S Club 7,97886,469810,"pop, british, S Club 7, Love, 90s"
S Club 7,"4,5,1",Chorus,S Club Party,3 chord,S Club Party,S Club 7,80565,295096,"pop, 90s, dance, S Club 7, teenpop"
SCNDL,"6,2,4",Bridge,The Munsta,3 chord,The Munsta,SCNDL,7125,41916,"bounce, electro-house, sachen die ich gerne hoeren mag"
SCORPIONS,"4,5,4",Verse,Rock You Like a Hurricane,3 chord,Rock You Like a Hurricane,Scorpions,551393,3143068,"hard rock, classic rock, rock, 80s, heavy metal"
SEGA,"1,4,1",Verse,Sonic Battle - Emerald Town,3 chord,,,,,
SEOTAIJI,"4,5,6",Pre-Chorus,Chrismalo win TAK Remix,3 chord,,,,,
Safri Duo,"4,5,3",Instrumental,Played-A-Live,3 chord,Played-A-Live,Safri Duo,42341,184828,"dance, trance, electronic, drums, safri duo"
Sage Koizumi,"4,1,5",Chorus,Muv-Luv - Muv-Luv Extra OST,3 chord,,,,,
Saigon Kick,"1,5,6",Chorus,Love Is On The Way,3 chord,Love Is On The Way,Saigon Kick,21476,106994,"Power ballad, rock, classic rock, 80s, monster ballads"
Sailor Moon,"1,6,2",Verse,Heart Moving,3 chord,Heart Moving,有澤孝紀,842,5990,
Saiyapimp,"1,5,4",Verse,Asagao Academy Theme feat Kori,3 chord,,,,,
Salia,"4,1,5",Intro,Trust,3 chord,TRUST,Salia,3385,35163,"anime, j-pop, Vandread, catchy, japan"
Sam Brown,"1,2,6",Verse,Stop,3 chord,Stop,Sam Brown,103314,463202,"80s, female vocalists, blues, pop, soul"
Sam Cooke,"1,5,1",Verse and Pre-Chorus,Another Saturday Night,3 chord,Another Saturday Night,Sam Cooke,92706,336277,"soul, oldies, 60s, rhythm and blues, rnb"
Sam Cooke,"1,6,4",Chorus,Wonderful World,3 chord,Wonderful World,Sam Cooke,240409,931643,"soul, oldies, 60s, rhythm and blues, pop"
Sam Hulick,"4,6,4",Intro and Verse,I Was Lost Without You - Mass Effect 3 OST,3 chord,,,,,
Sam Smith,"4,1,5",Bridge,I'm Not the Only One,3 chord,I'm Not the Only One,Sam Smith,436239,3727965,"soul, pop, melancholy, songs to kill yourself to, 2014"
Sam Smith,"1,5,4",Verse,Leave Your Lover,3 chord,Leave Your Lover,Sam Smith,131865,818415,"soul, british, gay pride, pop, rock"
Sam Smith,"1,6,5",Verse,Like I Can ,3 chord,,,,,
Sam Smith,"4,5,6",Verse,Restart,3 chord,Restart,Sam Smith,74239,419509,"pop, soul, british, male vocalists, goodmood"
Sam Smith,"4,1,5",Chorus,Stay With Me,3 chord,Stay with Me,Sam Smith,533927,4696271,"soul, pop, sam smith, 2014, british"
Sammy Hagar,"1,5,4",Verse,I'll Fall In Love Again,3 chord,I'll Fall In Love Again,Sammy Hagar,23779,62683,"classic rock, hard rock, rock, 80s, Sammy Hagar"
San Holo,"4,6,4",Intro,We Rise,3 chord,We Rise,San Holo,35911,187967,"trap, EDM"
Sander van Doorn Martin Garrix DVBBS,"4,5,6",Chorus,Gold Skies,3 chord,Gold Skies,Sander Van Doorn Martin Garrix DVBBS,17,56,
Sandra,"1,5,4",Verse and Pre-Chorus,Around My Heart,3 chord,Around My Heart,Sandra,31833,156430,"pop, 80s, Sandra, dance, german"
Sandra,"4,5,1",Chorus,Everlasting Love,3 chord,Everlasting Love,Sandra,52125,238660,"80s, pop, Sandra, dance, new wave"
Sanna Nielsen,"1,5,6",Chorus,Undo,3 chord,Undo,Sanna Nielsen,33971,274197,"Eurovision, swedish, Sweden, Eurovision Song Contest, ESC"
Sara Bareilles,"6,4,1",Chorus,Bottle It Up,3 chord,Bottle It Up,Sara Bareilles,275893,1328433,"female vocalists, pop, singer-songwriter, piano, indie"
Sara Bareilles,"1,4,6",Chorus,Brave,3 chord,Brave,Sara Bareilles,203768,1491994,"pop, female vocalists, singer-songwriter, inspirational, inspiring"
Sara Bareilles,"1,4,5",Intro,King of Anything,3 chord,King of Anything,Sara Bareilles,214027,1356857,"pop, female vocalists, piano, catchy, sara bareilles"
Sara Bareilles,"4,5,6",Intro,Love Song,3 chord,Love Song,Sara Bareilles,721338,4067626,"pop, female vocalists, piano, sara bareilles, love song"
Sara Bareilles,"1,5,6",Verse,Uncharted,3 chord,Uncharted,Sara Bareilles,87207,624521,"female vocalists, pop, piano, Awesome, sara bareilles"
Sarah Blasko,"1,4,1",Verse,Flame Trees,3 chord,Flame Trees,Sarah Blasko,15530,84342,"australian, covers, female vocalists, singer-songwriter, sarah blasko"
Sarah Fuller Flower Adams,"1,5,1",Instrumental,Nearer My God to Thee,3 chord,Nearer My God To Thee,Sarah Fuller Flower Adams,13,59,
Sarah McLachlan,"1,5,6",Bridge,Adia,3 chord,Adia,Sarah McLachlan,209938,900173,"female vocalists, pop, singer-songwriter, Sarah McLachlan, Canadian"
Sash,"1,5,6",Chorus,Ecuador,3 chord,Ecuador,Sash!,116557,514004,"dance, 90s, trance, eurodance, electronic"
Satoshi Iwase,"1,4,5",Chorus,Danganronpa - Saisei,3 chord,,,,,
Satoshi Kadokura,"6,2,5",Intro,Mobile Suit Gundam Formula 91 - Crossbone Vanguard,3 chord,,,,,
Savant,"1,5,6",Chorus,Melody Circus,3 chord,Melody Circus,Savant,6695,45404,dubstep
Savant,"5,2,1",Chorus,Mother Earth,3 chord,Mother Earth,Savant,4109,24039,"electro house, complextro"
Savant,"4,5,4",Chorus,Orphan,3 chord,Orphan,Savant,1935,10730,
Savant,"6,5,4",Chorus,Prelude,3 chord,Prelude,Savant,2027,11836,
Savant,"4,5,4",Chorus Lead-Out,Sledgehammer,3 chord,Sledgehammer,Savant,5427,35006,glitch hop
Savant,"4,6,5",Chorus,Survive,3 chord,Survive,Savant,1800,9766,electronica
Save Ferris,"1,5,1",Verse,Come on Eileen,3 chord,Come On Eileen,Save Ferris,115513,517496,"ska, cover, ska punk, covers, female vocalists"
Saves The Day,"6,5,4",Verse,Anywhere With You,3 chord,Anywhere With You,Saves the Day,66730,382932,"emo, indie, saves the day, rock, pop punk"
Saves The Day,"1,5,2",Intro,At Your Funeral,3 chord,At Your Funeral,Saves the Day,179229,1086472,"emo, pop punk, indie, rock, saves the day"
Saves The Day,"6,5,6",Verse,Cars and Calories,3 chord,Cars and Calories,Saves the Day,23674,149269,"emo, pop punk, Love Pedro, seen live, indie"
Saves The Day,"1,5,6",Chorus,Deranged and Desperate,3 chord,Deranged & Desperate,Saves the Day,8293,44051,"alternative rock, indie rock, guitar"
Saves The Day,"4,5,4",Verse,Eulogy,3 chord,Eulogy,Saves the Day,34175,194497,"emo, indie, punk, alternative, seen live"
Saves The Day,"1,6,5",Chorus,Freakish,3 chord,Freakish,Saves the Day,111243,673297,"emo, saves the day, indie, alternative rock, alternative"
Saves The Day,"6,5,1",Intro,In My Waking Life,3 chord,In My Waking Life,Saves the Day,37188,187398,"indie, saves the day, emo, indie rock, favorite band"
Saves The Day,"5,1,56",Intro and Verse,She,3 chord,She,Saves the Day,31154,128536,"alternative, emo, rock, indie rock, Love"
Saves The Day,"1,4,6",Bridge,What Went Wrong,3 chord,What Went Wrong,Saves the Day,39090,180745,"saves the day, punk, indie, rock, indie rock"
Saves The Day,"4,5,6",Verse,Where Are You,3 chord,Where Are You,Saves the Day,17164,58905,"saves the day, alternative, indie, rock, punk"
Sawai Miku,"6,2,5",Intro,Colorful - Saenai Heroine no Sodatekata ED,3 chord,,,,,
Say Anything,"1,5,2",Verse,Alive with the Glory of Love,3 chord,Alive with the Glory of Love,Say Anything,257647,2077250,"alternative, scrubs, indie rock, indie, favorites"
Say Anything,"4,5,6",Verse,Attaboy,3 chord,Attaboy,Say Anything,2094,7465,
Say Anything,"1,5,2",Intro and Verse,Every Man Has A Molly,3 chord,Every Man Has a Molly,Say Anything,135945,884213,"indie rock, Say Anything, rock, punk, indie"
Say Anything,"1,5,4",Intro,Shiksa,3 chord,Shiksa,Say Anything,5883,44380,"cute, amazing, wtf, haha, girlfriend"
Sbtrkt,"6,1,4",Pre-Chorus and Chorus,Trails Of The Past,3 chord,Trials of the Past,SBTRKT,97557,676709,"electronic, post-dubstep, like a map with no ocean, british, dubstep"
Scarab,"4,6,4",Chorus,Vagabond,3 chord,Vagabond,Scarab,1138,3775,"trance, electronic, classic, dance, progressive trance"
Scatman John,"1,5,6",Pre-Chorus and Chorus,Scatman's World,3 chord,Scatman's World,Scatman John,61890,304468,"dance, 90s, pop, eurodance, scat"
Schmoyoho,"6,2,3",Chorus,Bed Time Intruder Remix,3 chord,,,,,
Schmoyoho,"1,4,6",Chorus,Dead Giveaway,3 chord,Dead Giveaway,The Gregory Brothers,177,855,
Schmoyoho,"6,5,4",Chorus,Double Rainbow Remix,3 chord,,,,,
Schmoyoho,"1,5,4",Chorus,JUST DO IT ft Shia LaBeouf,3 chord,,,,,
Schmoyoho,"1,2,6",Chorus,Scoreboard,3 chord,Scoreboard,The Gregory Brothers,150,845,
Schmoyoho,"1,4,1",Chorus,Zoolander the Musical,3 chord,,,,,
School of Rock,"4,5,4",Verse,School of Rock,3 chord,School of Rock,School of Rock,40094,199515,"Soundtrack, rock, hard rock, classic rock, comedy"
Schoolhouse Rock,"1,4,1",Chorus,Do the Circulation,3 chord,,,,,
Schoolhouse Rock,"1,5,4",Verse,Interjections,3 chord,Interjections,Schoolhouse Rock,216,570,
Schoolhouse Rock,"1,5,4",Pre-Chorus and Chorus,Interplanet Janet,3 chord,Interplanet Janet,Schoolhouse Rock,923,3247,"i know you have a little life in you yet, d flat already, have you seen my childhood, lyrically stunning, ogun la baraka"
Schoolhouse Rock,"1,6,3",Verse,Shot Heard 'Round the World,3 chord,Shot Heard 'Round The World,Schoolhouse Rock,49,124,
Schoolhouse Rock,"1,5,1",Chorus,Telegraph Line,3 chord,Telegraph Line,Schoolhouse Rock,432,1449,
Schoolhouse Rock,"1,5,1",Chorus,The Preamble,3 chord,The Preamble,Schoolhouse Rock,1248,3844,"USA, kids, Educational, children, History"
Scissor Sisters,"4,5,1",Chorus,I Can't Decide,3 chord,I Can't Decide,Scissor Sisters,150472,1055201,"pop, doctor who, dance, glam rock, electronic"
Scooter,"1,6,1",Chorus,Maria - I Like It Loud,3 chord,Maria - I Like It Loud,Scooter,142,473,
Scorpions,"1,6,4",Intro and Verse,Arizona,3 chord,Arizona,Scorpions,31333,118350,"hard rock, heavy metal, rock, classic rock, 80s"
Scorpions,"4,5,6",Pre-Chorus and Chorus,Humanity,3 chord,Humanity,Scorpions,94111,567093,"hard rock, rock, classic rock, scorpions, heavy metal"
Scorpions,"1,5,6",Chorus,Still loving you,3 chord,Still Loving You,Scorpions,498009,3268815,"classic rock, rock, hard rock, 80s, Ballad"
Scorpions,"1,5,2",Chorus,Wind of change,3 chord,Wind of Change,Scorpions,693118,4522616,"classic rock, rock, 80s, hard rock, scorpions"
Scott AF,"6,1,4",Chorus,Under Your Skin,3 chord,Under Your Skin,Scott AF,58,147,
Scott Brown,"6,1,4",Pre-Chorus,Roll The Track,3 chord,Roll the track,Scott Brown,222,1839,hardcore techno
Scott Grimes,"1,5,1",Chorus Lead-Out,Livin' On The Run,3 chord,Livin' On The Run,Scott Grimes,539,4811,"rock, pesen 1"
Scott Joplin,"1,5,1",Verse,The Entertainer,3 chord,The Entertainer,Scott Joplin,57115,190020,"ragtime, piano, instrumental, jazz, Soundtrack"
Scott Krippayne,"1,4,5",Verse,I'm Not Cool,3 chord,I'm Not Cool,Scott Krippayne,904,3573,"unique, contemporary christian, christian, gospel, unique gospel"
Scott McKenzie,"1,5,6",Chorus,San Francisco,3 chord,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,342214,1757261,"60s, oldies, classic rock, Flower Power, folk"
Scott Schreer,"6,4,6",Instrumental,NFL on Fox Theme,3 chord,NFL on Fox Theme,Scott Schreer,18,129,
Scribit,"6,4,5",Chorus,Tropic,3 chord,Tropic,Scribit,0,0,
Sean Kingston,"1,6,4",Chorus,Beautiful Girls,3 chord,Beautiful Girls,Sean Kingston,584603,2058488,"rnb, reggae, Sean Kingston, pop, Hip-Hop"
Sean Kingston,"1,5,4",Chorus,Fire Burning,3 chord,Fire Burning,Sean Kingston,331906,1324244,"dance, Hip-Hop, Sean Kingston, r&b, pop"
Sean Paul,"1,4,6",Pre-Chorus,Other Side Of Love,3 chord,Other Side Of Love,Sean Paul,50733,210744,"2013, pop, Sean Paul, 2013 single, hip hop"
Sebastian Ingrosso and Alesso,"4,5,6",Chorus,Calling - Lose My Mind,3 chord,,,,,
Sebastian Ingrosso and Tommy Trash,"1,2,16",Chorus,Reload,3 chord,Reload,Sebastian Ingrosso & Tommy Trash,15515,81279,"trance, electronic, instrumental, House, electro house"
Sebjak,"4,5,6",Chorus,Follow Me,3 chord,Follow Me,Sebjak,408,1482,
Sega,"1,5,1",Verse and Pre-Chorus,Angel Island Act 1,3 chord,Angel Island Act 1,Sega,41,155,
Sega,"1,5,6",Intro,Azure Blue World,3 chord,Azure Blue World,Sega,46,247,
Sega,"4,5,1",Verse,Chao Karate,3 chord,Chao Karate,Sega,4,12,
Sega,"6,4,5",Chorus,Ice Cap Zone,3 chord,Ice Cap Zone,Sega,19,179,
Sega,"1,5,6",Pre-Chorus and Chorus,Lava Reef Zone,3 chord,Lava Reef Zone,Sega,13,191,
Sega,"1,4,1",Bridge,Mystic Ruins,3 chord,Mystic Ruins,Sega,9,33,
Sega,"1,5,6",Intro,Seaside Hill Zone,3 chord,Seaside Hill Zone,Sega,1,2,
Sega,"1,4,5",Chorus,Sonic - His World,3 chord,,,,,
Sega,"6,5,4",Pre-Chorus and Chorus,Sonic and Knuckles - Flying Battery Zone,3 chord,,,,,
Sega,"5,4,5",Intro and Verse,Sonic and Knuckles - Minor Bosses,3 chord,,,,,
Seikilos,"4,5,4",Verse,Hoson Zes Phainou,3 chord,,,,,
Seiko Matsuda ,"1,6,2",Intro,Aoi Photograph,3 chord,,,,,
Seinabo Sey,"1,5,1",Chorus,Younger,3 chord,Younger,Seinabo Sey,82938,366545,"Background, chilled dance, soul, alternative, swedish"
Selah Sue,"4,6,4",Chorus,This World,3 chord,This World,Selah Sue,123605,966019,"soul, jazz, pop, selah sue, reggae"
Selena,"1,6,5",Verse and Pre-Chorus,I Could Fall In Love,3 chord,I Could Fall in Love,Selena,48884,241403,"Selena, 90s, pop, female vocalists, i could fall in love"
Selena Gomez,"1,5,2",Verse,A Year Without Rain,3 chord,A Year Without Rain,Selena Gomez,12866,147819,"pop, female vocalists, pop rock, old times, new"
Selena Gomez,"1,2,4",Verse,Good For You,3 chord,Good for You,Selena Gomez,232797,2166234,"pop, rnb, Selena Gomez, urban, bad"
Selena Gomez,"6,4,1",Instrumental,Kill Em With Kindness,3 chord,Kill Em With Kindness,Selena Gomez,187108,1639919,"pop, electropop, electronic, female vocalists, rnb"
Selena Gomez,"6,2,5",Chorus,Love You Like A Love Song,3 chord,Love You Like a Love Song,Selena Gomez,30117,327379,"pop, Selena Gomez, i know i should not like it but i am so sorry i do, female vocalists, love at first listen"
Selena Gomez,"1,2,6",Verse,Same Old Love,3 chord,Same Old Love,Selena Gomez,208426,2132701,"Same Old Love, pop, female vocalists, urban, revival"
Selena Gomez,"6,1,4",Verse,The Heart Wants What It Wants,3 chord,The Heart Wants What It Wants,Selena Gomez,209047,2217564,"pop, sad, love at first listen, Ballad, beautiful"
Semisonic,"1,5,2",Intro and Verse,Closing Time,3 chord,Closing Time,Semisonic,569511,2978473,"90s, rock, alternative, alternative rock, pop"
Senpi,"4,5,6",Verse,Awakening Wolf's Instinct,3 chord,,,,,
Serbian soldiers,"1,5,1",Verse,Bog Je Srbin I On Ce Nas Cuvati,3 chord,,,,,
Serge Gainsbourg,"1,4,5",Verse,Je t'aime - moi non plus,3 chord,Je t'aime - moi non plus,Serge Gainsbourg,20,51,
Serge Gainsbourg and Brigitte Bardot,"1,5,4",Intro,Bonnie and Clyde,3 chord,Bonnie And Clyde,Serge Gainsbourg & Brigitte Bardot,17395,83510,"french, 60s, chanson francaise, french psychedelic, ye-ye"
Seven Lions,"6,5,1",Chorus,A Way To Say Goodbye,3 chord,A Way To Say Goodbye,Seven Lions,7254,28999,
Seven Lions,"5,2,4",Chorus,Days to Come ft Fiora,3 chord,Days to Come ft Fiora,Seven Lions,89,266,
Seven Lions,"6,4,2",Solo,Nepenthe,3 chord,Nepenthe,Seven Lions,10146,46853,
Seven Lions,"1,2,4",Solo,She Was Feat Birds of Paradise,3 chord,She Was feat Birds Of Paradise,Seven Lions,10,11,
Seventeen and Ailee,"6,2,4",Chorus,Q and A,3 chord,,,,,
Sex Whales,"1,4,5",Intro,Rainbow,3 chord,Rainbow,Sex Whales,51,567,
Sha Na Na,"1,6,4",Chorus,Those Magic Changes - Grease,3 chord,Those Magic Changes - Grease,Sha Na Na,2,3,
Shakey Graves,"1,6,4",Intro,Dearly Departed,3 chord,Dearly Departed,Shakey Graves,10716,45722,"3 stars, 4 Stars, Channel X"
Shakira,"4,5,6",Chorus,Hips Don't Lie ft Wyclef Jean,3 chord,Hips Don't Lie Ft Wyclef Jean,Shakira,862,5540,Specials to 3mmey
Shakira,"6,5,1",Chorus,La Tortura ft Alejandro Sanz,3 chord,La Tortura ft Alejandro Sanz,Shakira,274,1862,spanish
Shakira,"1,5,2",Chorus,Las De La Intuicion,3 chord,Las de la Intuición,Shakira,119697,986903,"Shakira, sexy, pop, dance, electronic"
Shakira,"6,2,6",Chorus,Loca ft Dizzee Rascal,3 chord,Loca ft Dizzee Rascal,Shakira,427,2295,
Shakira,"1,5,1",Chorus,Try Everything,3 chord,Try Everything,Shakira,42927,266670,"Soundtrack, Disney, pop, dance, latin"
Shakira,"1,5,6",Pre-Chorus and Chorus,Waka Waka,3 chord,Waka Waka (This Time for Africa),Shakira,348828,2471089,"pop, Shakira, dance, africa, 2010"
Shakira,"1,5,6",Verse,Whenever Wherever,3 chord,Whenever Wherever,Shakira,16238,103237,"pop, dance, latin, Shakira, latino"
Shania Twain,"1,4,5",Verse and Pre-Chorus,Still The One,3 chord,Still The One,Shania Twain,1755,8185,"pop, country rock"
Shania Twain,"1,5,6",Verse and Pre-Chorus,That Don't Impress Me Much,3 chord,That Don't Impress Me Much,Shania Twain,235516,964034,"country, pop, female vocalists, Shania Twain, 90s"
Shannon,"4,5,6",Verse,Let The Music Play,3 chord,Let The Music Play,Shannon,84200,307780,"80s, dance, freestyle, Disco, pop"
Sharon Needles,"1,6,5",Verse,Why Do You Think You Are Nuts,3 chord,Why Do You Think You Are Nuts,Sharon Needles,34,230,
Shawn Lane,"1,5,6",Verse,Grey Pianos Flying,3 chord,Grey Pianos Flying,Shawn Lane,17,152,
Shawn Mendes,"1,5,4",Chorus,Believe,3 chord,Believe,Shawn Mendes,8733,34362,"Soundtrack, pop, Canadian, 2015 single, wake-up song"
Shawn Mendes,"1,4,5",Verse and Pre-Chorus,Stitches,3 chord,Stitches,Shawn Mendes,294989,2627517,"pop, Canadian, acoustic, guitar, r&b"
Shawn Mendes,"6,4,1",Chorus,Treat You Better,3 chord,Treat You Better,Shawn Mendes,255662,2103623,"pop, Canadian, shawn mendes, folk, acoustic"
She,"6,2,5",Intro,Computer Music,3 chord,Computer Music,She,12714,88241,"electropop, chiptune, anime, bitpop, picopop"
Sheena Easton,"1,4,1",Verse,What You Are,3 chord,What You Are,Sheena Easton,14,36,
