artist,cp,section,song,type
Arthur,"1,2,3",Instrumental,NYAN CAT,3 chord
Arthur White,"4,6,5",Chorus,The Fade - Nolan Van Lith Remix,3 chord
Arty,"1,4,5",Chorus,Around The World,3 chord
Arty,"1,6,1",Chorus,Ferry Corsten - Punk,3 chord
Arty,"6,4,5",Chorus,Flashback,3 chord
Arty,"4,5,6",Chorus,Stronger,3 chord
Arty,"1,5,2",Chorus,When I See You,3 chord
Arty,"1,5,1",Chorus,Zara,3 chord
Arty - Mat Zo,"6,4,1",Verse,Rebound,3 chord
Arty and Matisse and Sadko,"4,5,6",Chorus,Riot,3 chord
Aryx,"4,5,6",Chorus,Chaldea,3 chord
Asaf Avidan,"4,6,1",Chorus,One Day,3 chord
Asher Roth,"1,5,6",Chorus,I Love College,3 chord
Ashes Remain,"1,4,6",Intro,Right Here,3 chord
Ashlee Simpson,"6,4,6",Pre-Chorus,Pieces Of Me,3 chord
Ashley Wallbridge Andy Moor Meighan Nealon,"1,5,6",Chorus,Faces,3 chord
Associates,"1,4,5",Verse,Party Fears Two,3 chord
Astrid S,"1,2,4",Chorus,2 AM - Matoma Remix,3 chord
Astro,"1,2,16",Chorus,Hide and Seek,3 chord
Astronaut,"1,5,6",Intro and Verse,Feronia feat Danyka Nadeau,3 chord
Astronaut-ft--Harry-Brooks-JNR,"4,5,6",Chorus,Champions,3 chord
Atlas Genius,"4,1,5",Intro and Verse,Trojans,3 chord
Atomic Kitten,"1,4,5",Chorus,The Tide is High,3 chord
Au5,"5,2,1",Chorus,Atlantis,3 chord
Au5,"6,5,4",Intro,Blossom,3 chord
Au5,"6,1,4",Intro,Follow You feat Danyka Nadeau,3 chord
Au5,"1,4,5",Chorus,Singularity,3 chord
Au5,"1,5,2",Intro,Snowblind feat Tasha Baxter,3 chord
Au5,"6,5,4",Chorus,Virgo,3 chord
Au5 and Fractal,"6,4,5",Pre-Chorus,Blue,3 chord
Audien,"1,4,5",Pre-Chorus,Elysium,3 chord
Audien,"4,1,5",Chorus,Something Better,3 chord
Audien,"5,6,1",Instrumental,Wayfarer,3 chord
Audien feat Ruby Prophet,"1,5,1",Instrumental,Circles,3 chord
Augustana,"1,4,5",Verse,Boston,3 chord
Aura Dione,"6,4,1",Bridge,Friends - Piano Cover,3 chord
Austin Cassidy,"4,6,5",Pre-Chorus and Chorus,Find Our Way ft Crystal Castagnazzi,3 chord
